screen_name,followers_count,friends_count,statuses_count,created_at,lang
"Lopez733",3,848,9,"Thu May 26 14:24:19 +0000 2011","es"
"AWajer",3,1482,73,"Sun Dec 30 01:20:28 +0000 2012","en"
"silvia_dian",9,308,9,"Mon Aug 24 07:46:51 +0000 2009","en"
"84Thomas",2,809,64,"Sun Feb 07 12:29:14 +0000 2010","en"
"MeanLillThing",10,629,3,"Thu Aug 27 17:33:07 +0000 2009","nl"
"killy_kristyna",1,161,3,"Sun Jul 12 15:45:51 +0000 2015","cs"
"febrihutama",109,282,185,"Tue Oct 05 05:15:00 +0000 2010","en"
"aanderson21",6,724,4,"Sun Jun 07 19:44:57 +0000 2009","en"
"leungadrian10",0,296,1,"Sat Feb 27 22:36:28 +0000 2016","en"
"skaterGTX",6,1595,13,"Wed Jun 22 15:35:05 +0000 2011","en"
"gtdale2",7,1455,39,"Tue May 14 00:11:33 +0000 2013","en"
"sarahjoya",1,157,6,"Tue Jan 17 15:14:35 +0000 2012","en"
"SrMrRiveraSr",5,1743,79,"Fri Jan 14 00:06:09 +0000 2011","en"
"santoshkumar203",0,426,15,"Sat Jul 02 05:32:53 +0000 2011","en"
"sidneymousseau9",10,601,13,"Wed Apr 30 20:02:26 +0000 2014","en"
"anamariacinta",2,281,3,"Mon Jun 13 12:24:31 +0000 2011","es"
"mustafa_942011",1,231,16,"Sun Oct 09 23:44:00 +0000 2011","en"
"PauloFr34371896",2,397,5,"Tue Oct 06 20:10:14 +0000 2015","en"
"nancseni",6,363,3,"Sat May 18 15:49:45 +0000 2013","en"
"dani3259",6,1389,11,"Fri Jul 22 00:26:46 +0000 2011","es"
"odomsue",2,422,43,"Sun Jun 26 19:10:51 +0000 2011","en"
"erin_mcmenamin",2,286,1,"Fri Dec 07 15:34:13 +0000 2012","en"
"tiagovaler",8,273,7,"Sun Jan 29 05:18:27 +0000 2012","pt"
"yennntrann",0,195,9,"Mon Jan 10 05:25:52 +0000 2011","en"
"NgattiJ",8,363,1,"Mon Jun 20 09:18:21 +0000 2011","en"
"mrcriss",3,950,21,"Mon Feb 02 14:56:05 +0000 2009","en"
"hannahlouiseyat",1,597,5,"Sat Apr 13 11:26:28 +0000 2013","en"
"shockdrive",3,1566,60,"Fri Jan 06 19:51:04 +0000 2012","en"
"InnesAndrea",54,391,120,"Mon Jan 28 20:17:43 +0000 2013","en"
"jack1404",1,201,7,"Sun Mar 21 18:46:37 +0000 2010","en"
"krsht",6,1482,44,"Mon Feb 06 16:49:20 +0000 2012","es"
"Ferrazfelix",0,178,6,"Thu Sep 04 23:18:15 +0000 2014","pt"
"rosas_susanna",0,280,2,"Fri Jul 04 02:32:04 +0000 2014","en"
"MichealDoe",2,198,8,"Wed Jun 13 17:02:48 +0000 2012","en"
"boydruiz24",0,342,9,"Thu Sep 29 03:06:14 +0000 2011","en"
"hokusetsu_ouji",4,1118,12,"Thu Feb 11 04:15:08 +0000 2010","ja"
"GreenGlower",0,257,14,"Wed Jan 26 13:31:31 +0000 2011","en"
"xmami08x",3,388,24,"Sun May 30 16:32:33 +0000 2010","en"
"Emostar1232",2,678,4,"Sun Jan 31 16:24:56 +0000 2010","en"
"akbarrak",4,631,8,"Tue Jan 11 10:18:35 +0000 2011","en"
"terenaam2010",3,94,6,"Sat Sep 25 07:52:29 +0000 2010","en"
"Sgugnizer",0,196,9,"Tue Dec 13 05:14:34 +0000 2011","en"
"CJaworskyj",0,313,3,"Wed Apr 18 20:45:29 +0000 2012","en"
"arararara51",0,161,7,"Tue Mar 17 01:38:32 +0000 2015","es"
"nelpasminas",0,140,13,"Fri Apr 12 13:19:03 +0000 2013","en"
"okokawa",0,203,13,"Sun Aug 14 18:47:20 +0000 2011","ja"
"MagyNino",1,163,10,"Fri Jul 25 00:33:55 +0000 2014","es"
"peetz_dylan",1,458,2,"Sun Mar 03 05:44:54 +0000 2013","en"
"AlfredL85",1,322,6,"Mon Jul 18 15:45:33 +0000 2011","en"
"Moffyz",0,430,4,"Thu Feb 03 14:14:31 +0000 2011","en"
"maribetherson",8,235,5,"Sat Jun 13 02:50:55 +0000 2009","en"
"oldrustywrench",0,329,1,"Sat Apr 05 22:52:03 +0000 2014","en"
"misheubritney",8,584,355,"Wed Dec 02 22:32:20 +0000 2009","en"
"TravausS",2,136,2,"Tue Jul 12 17:34:21 +0000 2011","en"
