screen_name,followers_count,friends_count,statuses_count,created_at,lang
theMattachines,2613,3993,41274,2015-06-26 10:15:20.000000,en
miguelrisigil,10,95,534,2009-12-23 20:20:25.000000,en
Nosidamsirron,4,8,78,2012-06-01 20:10:17.000000,en
MikhaylovSergei,7,36,179,2017-06-16 20:57:32.000000,ru
StayLLovely,879,1982,13235,2011-07-08 15:33:23.000000,nl
AndrewAlmendras,73,57,288,2009-07-09 20:31:33.000000,en
marHortaliZa,205,758,1994,2011-01-08 20:37:38.000000,es
FredCabell,39,88,293,2011-10-22 15:40:33.000000,en
korikori1984,28,12,121,2012-10-21 02:18:11.000000,ja
Elizabeth_Telit,2,20,189,2016-06-18 09:35:10.000000,ru
btuzcu26,267,1337,888,2013-08-08 11:49:17.000000,tr
crey2010,5,5,60,2011-11-06 22:24:51.000000,en
breitsprecker3,9,15,55,2015-09-01 02:01:56.000000,en
marceloocg,174,302,548,2010-10-24 19:38:15.000000,es
satriawsm,0,1,122,2014-08-20 12:23:01.000000,en
bradzieski,73,226,202,2009-06-22 22:13:46.000000,en
RDbestdiet,2,7,70,2009-07-15 13:46:24.000000,en
soomroshuaib,78,189,204,2011-06-01 10:21:51.000000,en
JalesaJones15,50,390,460,2014-04-28 21:19:48.000000,en
Perry_Perreault,62,100,105,2011-09-06 04:35:39.000000,en
AwengShah,494,905,5796,2009-02-11 19:16:03.000000,en
sbscott4,49,77,107,2009-09-08 04:27:23.000000,en
calikiwi87,78,480,628,2009-05-05 17:38:57.000000,en
Ranjith2101,23,149,195,2010-06-24 09:49:07.000000,en
pbo26,51,636,249,2009-07-02 02:04:35.000000,en
tinkylove3,22,80,235,2013-11-30 14:36:57.000000,en
Kyroly18,1,19,128,2016-01-10 21:17:54.000000,en
mrsjchesley,18,87,77,2013-01-21 19:55:02.000000,en
kittnjoe,6,110,61,2013-10-02 00:11:52.000000,en
prestoluh,171,427,3825,2009-12-25 16:41:14.000000,en
CeleryForDays,71,71,276,2011-01-09 20:05:12.000000,en
780_917,1035,1571,693,2015-04-14 06:53:39.000000,en
abbyilovu,0,3,127,2010-01-07 16:20:40.000000,en
mmdelise,16,99,63,2014-08-15 12:08:40.000000,en
Courtne31121255,2,40,80,2016-09-27 01:16:58.000000,en
DjMio83,7,14,143,2010-10-01 15:19:47.000000,de
megapavel210781,0,2,181,2012-07-29 19:03:24.000000,ru
dwrenn,218,698,560,2008-10-03 04:15:53.000000,en
mac_garry,36,41,2072,2010-03-21 01:02:27.000000,en
marinagazette,47,49,173,2009-05-01 20:55:25.000000,en
ChaniM1985,84,317,475,2010-02-04 07:07:24.000000,en
C00ND4CK,6,26,135,2011-10-07 08:32:18.000000,tr
MaKaleaBjoin,7,195,90,2011-12-19 03:06:05.000000,en
tweetingsanjay,91,131,1127,2012-07-30 05:03:11.000000,en
Monolit1958,3,205,202,2013-09-23 18:18:45.000000,ru
LeonWinterBiz,1211,1430,1313,2011-04-24 17:58:28.000000,en
reisana3,2,15,152,2010-10-11 20:12:40.000000,en
Robocraigy,25,14,160,2013-09-08 06:50:13.000000,en
GanapathyDyna,4,1,161,2017-06-29 10:53:35.000000,en
fimanata,3,9,186,2012-07-04 20:23:32.000000,ru
mpicchetti,9,8,132,2007-04-12 02:03:45.000000,en
R63220315,1,20,128,2016-06-20 21:30:54.000000,ru
JB2188,10,82,125,2009-06-17 05:32:44.000000,en
DrZombae,75,165,379,2013-07-24 06:17:14.000000,en
MitchTristan,0,3,60,2012-10-01 15:42:55.000000,en
beccakelly,9,38,145,2008-09-22 19:51:57.000000,en
mau90soares,12,708,100,2016-03-23 00:43:49.000000,pt
kelrenee,49,126,98,2008-03-26 21:11:33.000000,en
DmitrijYakovlev,1,3,1796,2012-04-17 20:13:24.000000,ru
AnnieNg00,29,96,2212,2012-05-31 14:59:03.000000,en
TheJuanAndOnly7,334,240,8215,2011-07-01 23:20:23.000000,en
efb6cA22NOS0TKA,51,0,135,2017-06-15 11:11:03.000000,ru
Im__Ba,430,422,295,2011-07-20 19:08:56.000000,en
chloe_sara1,26,106,327,2014-08-06 21:01:20.000000,en
ZhanzharovaJuly,1,6,179,2011-04-28 13:48:24.000000,ru
MarreroWill,46,96,133,2009-04-11 13:13:00.000000,en
SentencedToWin,659,1726,21989,2012-09-19 01:00:40.000000,fr
gerri3511,7,22,108,2009-07-07 13:37:15.000000,en
fixitchris,26,18,127,2009-03-02 02:41:05.000000,en
gise18,20,103,177,2009-05-19 05:07:24.000000,en
Vibelizeii,2273,2608,5766,2011-06-24 22:58:35.000000,pt
DeeptiJodhawat,51,75,139,2012-04-12 16:43:03.000000,en
weyheysel,11215,8486,2854,2011-03-01 10:36:35.000000,en
23masshole,189,1030,849,2012-02-23 11:50:57.000000,en
peteyc,10,94,158,2012-10-31 13:37:25.000000,en
B_Fails,227,198,2334,2009-10-23 00:11:23.000000,en
mdvg28,13,121,124,2010-06-26 01:08:41.000000,es
MelvinRamirezHN,21,45,87,2012-11-05 18:39:02.000000,es
LorriVillarreal,34,162,248,2016-03-08 20:15:23.000000,en
Saluto4ka_Puppy,120,221,198,2016-09-30 09:14:05.000000,ru
tdrizzle53,24,79,144,2013-07-09 13:58:57.000000,en
CCME10,17,80,268,2013-07-08 16:07:37.000000,en
ZarubinDaniil,11,12,197,2011-05-15 16:19:54.000000,ru
kain_anna,285,284,1082,2011-08-24 03:57:54.000000,en
bbchristianne,236,196,9945,2009-06-18 13:38:16.000000,en
abiharlove,12,70,103,2011-10-01 23:26:46.000000,en
hesseyMHS007,42,135,10611,2009-05-08 01:52:12.000000,en
TPeterson21,32,89,102,2011-08-18 02:59:25.000000,en
dudacastro1997,4,453,117,2009-09-15 21:34:27.000000,pt
triplelindi4,18,18,134,2012-01-05 10:21:51.000000,en
SamWinks,160,422,3387,2011-04-12 01:08:58.000000,en
eberheardt17,5,9,54,2016-10-06 20:51:44.000000,en
YardleyIan,14,25,244,2011-10-15 23:10:20.000000,en
asvspb1,2,31,138,2014-10-07 17:54:42.000000,ru
maryanneonyx,19,66,198,2013-06-07 00:39:08.000000,en
jbutlersibul,2,986,29,2011-08-13 11:57:02.000000,en
SFetner1969,3,413,6,2016-09-06 14:07:43.000000,en
kyteille,2,178,5,2010-09-15 08:43:38.000000,en
dnogrl,0,171,6,2014-11-27 08:27:43.000000,en
Switacz,3,582,29,2011-01-03 12:27:23.000000,en
Daniscattergood,4,253,9,2011-07-13 17:22:29.000000,en
Leodark_74,0,56,3,2011-03-25 23:23:12.000000,en
YuliaAnthonio,3,102,10,2014-01-22 15:10:11.000000,en
RiverMZaye,4,904,37,2012-03-20 02:04:12.000000,en
lystiami,83,270,521,2013-10-11 10:48:02.000000,en
boschable,0,85,5,2011-01-26 10:33:12.000000,de
ClaudiaRomeo9,1,123,4,2014-01-26 21:09:56.000000,it
LOGAN1131,0,891,33,2011-05-30 22:41:19.000000,en
juliavinta1,2,272,9,2015-05-13 13:28:43.000000,en
jlarvig,4,170,378,2011-08-17 03:19:51.000000,en
bigbiird08,0,179,6,2012-12-18 05:07:30.000000,en
bryanbudrow14,5,1230,29,2014-05-02 04:07:37.000000,en
wendigu,7,2091,63,2010-03-03 01:00:10.000000,en
Kitsamas,2,1422,46,2013-09-12 02:33:42.000000,en
JuliLopez5,0,53,3,2011-05-24 19:34:37.000000,en
zxcy798,1,116,6,2014-05-23 13:23:48.000000,zh-tw
candigal123,0,89,8,2011-04-23 00:48:43.000000,en
shaha1998,6,89,8,2012-01-14 11:52:27.000000,en
kouta0,3,104,6,2009-05-25 04:22:09.000000,en
NickoRoc,6,397,18,2012-05-05 03:13:25.000000,en
fakruladli,2,1111,28,2011-02-07 14:42:25.000000,en
katedaindonesia,46,375,18,2010-04-22 12:07:32.000000,id
la_piruleta,7,587,23,2012-01-20 20:51:40.000000,es
Alohaa_Kalai,5,1690,28,2014-02-25 06:52:00.000000,en
serdzjoelwiz,5,1944,54,2016-08-02 18:38:15.000000,pl
retna_myname,1,109,6,2014-01-04 06:56:32.000000,en
_JosimarBezerra,8,880,32,2011-05-18 22:28:57.000000,pt
saralynn86,2,891,28,2011-12-02 22:43:27.000000,en
lindsey7809,1,335,27,2012-01-27 20:41:42.000000,en
krissydoll_93,6,1869,120,2009-06-27 02:45:47.000000,en
Rbear63,3,1008,61,2014-05-28 00:47:03.000000,en
costaoro,5,1531,69,2009-09-09 12:46:39.000000,en
beezka,0,114,8,2011-04-20 22:53:24.000000,en
ferdinandsulaim,2,87,4,2012-07-21 09:26:13.000000,en
elh_shiqo_RD,2,118,9,2010-02-27 21:15:49.000000,es
jhova1991,3,1150,66,2012-02-22 14:01:42.000000,es
dcd45yahoocom,16,1882,17,2010-01-17 19:18:00.000000,en
KarolinaCiucias,1,139,5,2012-03-11 13:15:03.000000,pl
tamageta0101,2,1390,67,2011-03-22 11:25:49.000000,ja
anitralalala,5,1396,82,2011-12-13 21:39:50.000000,es
SamiSususami1,4,126,7,2014-08-23 09:59:42.000000,en
mti1003,0,163,14,2011-03-15 05:34:47.000000,ko
sigithonggowijo,0,171,7,2013-12-01 14:26:26.000000,en
hkd190297,1,267,18,2013-01-28 03:40:26.000000,es
josephgiff85,2,1064,60,2011-11-10 02:13:25.000000,en
smilybubble,5,315,6,2009-05-24 14:24:49.000000,en
besi_besnik,9,1125,45,2012-01-13 08:30:18.000000,en
JonathanGiannon,0,143,6,2011-10-02 21:37:19.000000,en
Hrcy007,1,160,3,2010-10-15 08:35:03.000000,en
Ally12341,1,162,10,2011-06-21 21:46:41.000000,en
yourfingcrazy,0,235,13,2014-09-21 05:42:47.000000,en
sand0619882011,5,56,3,2011-01-31 16:47:27.000000,en
jardinagirl1,1,400,13,2011-01-19 19:21:44.000000,en
FiorellaLuciano,5,1402,70,2012-04-20 15:12:50.000000,it
TaylerLikeWoahh,3,1009,76,2011-06-12 01:23:28.000000,en
remy252,7,1428,27,2011-01-10 21:46:06.000000,en
MitchellePity,3,326,4,2012-11-14 15:49:58.000000,en
Wayfairs,22,621,46,2009-06-10 00:51:39.000000,en
naymin14,11,1795,28,2011-12-26 04:31:38.000000,en
lukafekonja1,16,2298,85,2013-06-22 18:43:03.000000,en-gb
Malenajenta,5,347,13,2011-07-03 12:30:39.000000,en
princessmanni23,57,658,15,2010-07-14 04:39:15.000000,en
ricardonotein,13,2070,15,2013-03-08 04:11:18.000000,es
nate_duke,3,406,17,2012-07-03 22:44:46.000000,en
VinceST31,5,1301,79,2012-08-26 01:02:17.000000,fr
Siibocahhanehh,17,2193,71,2009-09-07 04:18:32.000000,en
kisp70,0,165,10,2011-08-24 14:18:46.000000,ko
tompcherry,8,830,32,2011-12-13 03:14:59.000000,en
jonnthompson,4,1735,66,2012-01-08 23:51:42.000000,en
t_lostpoet5,0,127,11,2014-03-08 18:58:05.000000,en
bhenner26,0,103,8,2010-01-25 10:33:58.000000,en
BenjaminKreher,1,374,8,2011-12-28 00:26:59.000000,de
nafas4,2,873,25,2011-10-15 08:10:30.000000,en
T69878851,0,154,5,2013-04-17 22:31:44.000000,en
JacobTrolltonso,0,150,7,2012-06-16 14:13:32.000000,en
owjk,1,137,10,2010-03-17 16:41:24.000000,en
Dinike89,5,1108,64,2010-12-09 21:05:46.000000,en
NatalaKowalska,3,156,3,2012-08-17 12:05:06.000000,pl
blue_yans,9,255,9,2013-01-27 10:18:23.000000,en
andrewbabb2,1,112,14,2014-04-22 00:02:22.000000,en
drive2266,0,219,8,2013-06-04 17:02:08.000000,en
kobo8117,4,1675,45,2011-01-02 09:23:10.000000,en
shirokuma1219,22,1433,79,2014-04-12 02:03:05.000000,ja
kinzepringle,6,1019,74,2011-02-24 23:25:12.000000,en
Lokaranjan54,5,1758,48,2011-08-26 13:03:44.000000,en
B_elenciiTa,2,237,4,2011-05-20 19:53:30.000000,es
jake32402756,7,1473,94,2012-02-20 02:48:20.000000,en
yipsisi2010,4,256,180,2011-08-21 05:03:09.000000,en
mjzjk,3,235,16,2010-11-30 13:44:52.000000,ja
liesse26,0,125,8,2010-05-17 22:53:11.000000,en
RobertGanaway,11,1641,60,2013-02-23 00:13:00.000000,en
merry_effendi,12,429,17,2010-09-03 16:18:14.000000,en
marismantara,60,1116,13,2013-01-05 06:42:31.000000,en
vivaviavegas,28,331,16,2009-08-23 00:20:17.000000,en
bakermalik,3,215,8,2011-01-23 18:46:51.000000,en
Cryssi60,7,1215,29,2009-06-25 22:59:56.000000,en
jacklemmon12345,5,488,23,2014-12-10 14:44:07.000000,en
UTKARSHRAI90,0,158,7,2011-05-23 08:23:39.000000,en
zeludo4,0,404,17,2010-08-20 17:07:30.000000,fr
wager447,1,244,8,2010-07-03 07:41:16.000000,ja
yun825,0,281,7,2010-02-08 14:40:51.000000,ja
KYAcheer,1,1077,41,2011-02-11 22:17:38.000000,en
ayaharik,5,320,30,2013-06-27 07:05:17.000000,id
jotaerre72,0,72,8,2011-02-16 12:27:20.000000,en
qqrt66689,56,1299,56,2012-08-10 14:20:36.000000,ja
joumontarou,2,1137,41,2015-09-26 02:47:52.000000,en
karim98641542,5,1451,48,2014-02-05 17:37:06.000000,en
KNsowah,1,141,8,2012-08-27 11:26:48.000000,en
riza_zaza88,4,221,11,2013-06-16 07:17:22.000000,en
vipinrathi22,4,878,20,2011-06-01 17:11:12.000000,en
NicoGarfiel,4,1932,79,2013-02-18 19:26:30.000000,fr
gogettas1000,14,88,38,2011-01-15 02:46:23.000000,en
jjj_fcs,6,1885,45,2015-04-17 11:05:40.000000,en
nando_br22,3,1411,13,2010-08-25 02:47:43.000000,es
doriruchin,4,1365,59,2010-04-19 01:10:47.000000,ja
m_lopez12325,1,1121,74,2013-06-10 14:44:25.000000,en
ACrenshaw86,41,1914,99,2011-07-19 16:21:57.000000,en
upixcantix,0,204,13,2011-12-31 01:52:14.000000,id
RaoufElouati,7,81,5,2011-08-26 14:46:17.000000,fr
hafizi1981,1,201,6,2011-09-17 05:30:10.000000,en
TagoeElliott,6,1114,73,2012-08-25 05:22:24.000000,en
miacaprii,3,1235,144,2014-09-07 00:55:24.000000,pt
OMGITSLITA,3,149,9,2011-03-12 15:00:12.000000,en
penis123456775,2,1301,107,2015-01-07 17:03:40.000000,de
mchteinwin,2,749,26,2011-12-12 04:41:32.000000,en
mtrainham,1,294,15,2009-12-21 05:00:43.000000,en
elisabethsepulc,2,321,10,2011-10-03 15:40:02.000000,fr
FrUiTCak3,1,153,10,2009-07-28 08:07:27.000000,en
LJtliang0604,1,1293,12,2014-07-21 02:57:18.000000,zh-tw
DavidBoamz,6,111,9,2010-04-21 09:28:41.000000,en
youngbob2012,0,63,5,2011-11-05 12:47:26.000000,it
hezilhelal,4,1389,60,2012-01-24 18:00:27.000000,fr
josuecito319,3,461,16,2011-08-20 03:59:04.000000,es
muntazirulmehdi,0,1414,55,2011-07-15 13:21:45.000000,en
Rise100,0,202,18,2010-10-25 16:07:16.000000,de
Drogba258,1,623,49,2010-12-06 14:53:48.000000,en
ADjalli,3,323,9,2014-10-17 21:45:44.000000,pl
ellen_JBfever,2,465,23,2010-12-17 15:42:51.000000,en
Judykarb2,3,1646,68,2012-06-17 12:51:36.000000,en
TokoCahayaPrg,0,165,7,2014-02-09 06:46:51.000000,en
anthoruiz3171,2,1393,26,2015-08-06 05:21:31.000000,en
mkhizesi,0,198,10,2012-06-29 18:01:47.000000,en
Opaqueiffy,0,58,5,2011-08-23 01:10:41.000000,en
TedroseWorkneh,3,875,35,2013-06-29 20:10:49.000000,en
stoilchev,2,56,4,2010-10-09 22:17:20.000000,en
acleveland5,0,371,15,2014-01-05 14:50:41.000000,en
MannTroll,16,2199,43,2012-02-14 20:53:17.000000,pt
ashleyt12428466,2,1119,65,2015-09-21 20:09:09.000000,en
HussenMansy,7,244,8,2012-04-23 20:10:56.000000,en
ositaadi08hotma,0,88,4,2011-03-19 23:57:47.000000,es
sot753641,5,1363,57,2013-11-15 15:09:53.000000,zh-tw
hartchris531,0,1148,63,2013-02-13 08:12:10.000000,en
Abbeyk61,0,121,7,2009-11-03 19:35:19.000000,en
lc_babyy,0,206,13,2010-07-07 13:41:15.000000,en
milksinging,1,189,3,2010-11-25 16:22:38.000000,en
delucasdarosa,13,3067,96,2011-07-29 01:56:48.000000,pt
m_tsix,4,1204,69,2012-10-24 13:24:13.000000,ja
Zoe_Gordon,1,152,9,2010-05-21 09:07:17.000000,en
innecence_2011,2,130,7,2011-01-12 13:54:24.000000,en
tildminou,5,353,10,2009-05-25 21:03:00.000000,en
LarxeneZ,5,432,10,2010-12-08 21:58:45.000000,en
