"screen_name","followers_count","friends_count","statuses_count","created_at","lang"
Lopez733,3,848,9,2011-05-26T14:24:19,es
AWajer,3,1482,73,2012-12-30T01:20:28,en
silvia_dian,9,308,9,2009-08-24T07:46:51,en
84Thomas,2,809,64,2010-02-07T12:29:14,en
MeanLillThing,10,629,3,2009-08-27T17:33:07,nl
killy_kristyna,1,161,3,2015-07-12T15:45:51,cs
febrihutama,109,282,185,2010-10-05T05:15:00,en
aanderson21,6,724,4,2009-06-07T19:44:57,en
leungadrian10,0,296,1,2016-02-27T22:36:28,en
skaterGTX,6,1595,13,2011-06-22T15:35:05,en
gtdale2,7,1455,39,2013-05-14T00:11:33,en
sarahjoya,1,157,6,2012-01-17T15:14:35,en
SrMrRiveraSr,5,1743,79,2011-01-14T00:06:09,en
santoshkumar203,0,426,15,2011-07-02T05:32:53,en
sidneymousseau9,10,601,13,2014-04-30T20:02:26,en
anamariacinta,2,281,3,2011-06-13T12:24:31,es
mustafa_942011,1,231,16,2011-10-09T23:44:00,en
PauloFr34371896,2,397,5,2015-10-06T20:10:14,en
nancseni,6,363,3,2013-05-18T15:49:45,en
dani3259,6,1389,11,2011-07-22T00:26:46,es
odomsue,2,422,43,2011-06-26T19:10:51,en
erin_mcmenamin,2,286,1,2012-12-07T15:34:13,en
tiagovaler,8,273,7,2012-01-29T05:18:27,pt
yennntrann,0,195,9,2011-01-10T05:25:52,en
NgattiJ,8,363,1,2011-06-20T09:18:21,en
mrcriss,3,950,21,2009-02-02T14:56:05,en
hannahlouiseyat,1,597,5,2013-04-13T11:26:28,en
shockdrive,3,1566,60,2012-01-06T19:51:04,en
InnesAndrea,54,391,120,2013-01-28T20:17:43,en
jack1404,1,201,7,2010-03-21T18:46:37,en
krsht,6,1482,44,2012-02-06T16:49:20,es
Ferrazfelix,0,178,6,2014-09-04T23:18:15,pt
rosas_susanna,0,280,2,2014-07-04T02:32:04,en
MichealDoe,2,198,8,2012-06-13T17:02:48,en
boydruiz24,0,342,9,2011-09-29T03:06:14,en
hokusetsu_ouji,4,1118,12,2010-02-11T04:15:08,ja
GreenGlower,0,257,14,2011-01-26T13:31:31,en
xmami08x,3,388,24,2010-05-30T16:32:33,en
Emostar1232,2,678,4,2010-01-31T16:24:56,en
akbarrak,4,631,8,2011-01-11T10:18:35,en
terenaam2010,3,94,6,2010-09-25T07:52:29,en
Sgugnizer,0,196,9,2011-12-13T05:14:34,en
CJaworskyj,0,313,3,2012-04-18T20:45:29,en
arararara51,0,161,7,2015-03-17T01:38:32,es
nelpasminas,0,140,13,2013-04-12T13:19:03,en
okokawa,0,203,13,2011-08-14T18:47:20,ja
MagyNino,1,163,10,2014-07-25T00:33:55,es
