screen_name,followers_count,friends_count,created_at,lang,statuses_count
lucasgates,2571,89,2008-07-05 21:51:12+00:00,en,2769
shivrmkrshnan,50,116,2013-10-31 15:40:27+00:00,en,102
LewisBugBounty,104,883,2017-08-09 09:28:43+00:00,en-gb,25
RatHunter8,164,1950,2017-06-18 10:26:20+00:00,en,4508
rauhweltdb,12,89,2017-04-10 00:14:32+00:00,en,535
JimSkalski,30,63,2010-02-22 05:32:18+00:00,en,5116
jackhax3,0,1,2016-09-21 10:55:56+00:00,en,4
wavellan,503,650,2008-04-07 20:17:34+00:00,en,3615
theMattachines,2613,3993,2015-06-26 10:15:20+00:00,en,41274
YOBTVOYUHMAT,29,167,2017-07-26 12:30:47+00:00,en,2035
sandeep_7847,118,939,2016-12-31 02:30:35+00:00,en,283
knoknokcom,131,437,2010-06-17 12:58:51+00:00,en,4078
CammoTrader,35,65,2009-04-21 11:14:48+00:00,en,154
tennmomma79,7,26,2017-04-21 20:58:46+00:00,en,84
great_slp,187,204,2012-08-01 02:11:29+00:00,en,253
CnGzAydN25,5,13,2017-04-21 23:05:50+00:00,tr,174
miguelrisigil,10,95,2009-12-23 20:20:25+00:00,en,534
Nosidamsirron,4,8,2012-06-01 20:10:17+00:00,en,78
MikhaylovSergei,7,36,2017-06-16 20:57:32+00:00,ru,179
madysunshines,9,12,2011-11-24 18:34:43+00:00,en,18
bdubdiver,118,415,2011-03-01 09:54:46+00:00,en,1268
TheChazMCs,345,283,2009-08-16 06:05:44+00:00,pt,3689
tracyballen,51,288,2012-07-31 11:05:55+00:00,en,168
Pablox0x,9,49,2011-03-07 21:33:09+00:00,es,224
Mahoganij,171,275,2013-03-16 02:49:46+00:00,en,364
AlyssaTriviski,15,81,2012-07-27 12:24:28+00:00,en,127
StayLLovely,879,1982,2011-07-08 15:33:23+00:00,nl,13235
matola6,0,0,2012-10-16 18:40:26+00:00,ru,17
UrbanCity25,26,88,2011-05-08 06:52:41+00:00,en,157
mlmadura,5,19,2012-07-01 22:12:34+00:00,en,42
AndrewAlmendras,73,57,2009-07-09 20:31:33+00:00,en,288
marHortaliZa,205,758,2011-01-08 20:37:38+00:00,es,1994
silverhair165,44,48,2009-07-06 16:53:04+00:00,en,338
FredCabell,39,88,2011-10-22 15:40:33+00:00,en,293
Madame_Feghaly,41,299,2012-05-03 18:03:13+00:00,en,220
IRINKAYURKINA,2,7,2017-01-08 09:19:49+00:00,ru,184
olenenok1985120,467,287,2012-10-20 10:17:58+00:00,ru,1516
JodiCramer2,1,3,2012-08-05 18:00:56+00:00,en,194
korikori1984,28,12,2012-10-21 02:18:11+00:00,ja,121
