screen_name,followers_count,friends_count,statuses_count,created_at,lang
lucasgates,2571,89,2769,2008-07-05T21:51:12Z,en
shivrmkrshnan,50,116,102,2013-10-31T15:40:27Z,en
LewisBugBounty,104,883,25,2017-08-09T09:28:43Z,en-gb
RatHunter8,164,1950,4508,2017-06-18T10:26:20Z,en
rauhweltdb,12,89,535,2017-04-10T00:14:32Z,en
JimSkalski,30,63,5116,2010-02-22T05:32:18Z,en
jackhax3,0,1,4,2016-09-21T10:55:56Z,en
wavellan,503,650,3615,2008-04-07T20:17:34Z,en
theMattachines,2613,3993,41274,2015-06-26T10:15:20Z,en
YOBTVOYUHMAT,29,167,2035,2017-07-26T12:30:47Z,en
sandeep_7847,118,939,283,2016-12-31T02:30:35Z,en
knoknokcom,131,437,4078,2010-06-17T12:58:51Z,en
CammoTrader,35,65,154,2009-04-21T11:14:48Z,en
tennmomma79,7,26,84,2017-04-21T20:58:46Z,en
great_slp,187,204,253,2012-08-01T02:11:29Z,en
CnGzAydN25,5,13,174,2017-04-21T23:05:50Z,tr
miguelrisigil,10,95,534,2009-12-23T20:20:25Z,en
Nosidamsirron,4,8,78,2012-06-01T20:10:17Z,en
MikhaylovSergei,7,36,179,2017-06-16T20:57:32Z,ru
madysunshines,9,12,18,2011-11-24T18:34:43Z,en
bdubdiver,118,415,1268,2011-03-01T09:54:46Z,en
TheChazMCs,345,283,3689,2009-08-16T06:05:44Z,pt
tracyballen,51,288,168,2012-07-31T11:05:55Z,en
Pablox0x,9,49,224,2011-03-07T21:33:09Z,es
Mahoganij,171,275,364,2013-03-16T02:49:46Z,en
AlyssaTriviski,15,81,127,2012-07-27T12:24:28Z,en
StayLLovely,879,1982,13235,2011-07-08T15:33:23Z,nl
matola6,0,0,17,2012-10-16T18:40:26Z,ru
UrbanCity25,26,88,157,2011-05-08T06:52:41Z,en
mlmadura,5,19,42,2012-07-01T22:12:34Z,en
AndrewAlmendras,73,57,288,2009-07-09T20:31:33Z,en
marHortaliZa,205,758,1994,2011-01-08T20:37:38Z,es
silverhair165,44,48,338,2009-07-06T16:53:04Z,en
FredCabell,39,88,293,2011-10-22T15:40:33Z,en
Madame_Feghaly,41,299,220,2012-05-03T18:03:13Z,en
IRINKAYURKINA,2,7,184,2017-01-08T09:19:49Z,ru
olenenok1985120,467,287,1516,2012-10-20T10:17:58Z,ru
JodiCramer2,1,3,194,2012-08-05T18:00:56Z,en
korikori1984,28,12,121,2012-10-21T02:18:11Z,ja
IsoFleecie,7,11,75,2017-04-07T09:09:09Z,en
Elizabeth_Telit,2,20,189,2016-06-18T09:35:10Z,ru
CatherineOCon15,9,120,136,2012-07-01T01:46:23Z,en
AskQurayat,0,0,121,2017-07-09T11:56:25Z,ar
btuzcu26,267,1337,888,2013-08-08T11:49:17Z,tr
crey2010,5,5,60,2011-11-06T22:24:51Z,en
FriedChickenLA,73,61,220,2013-11-06T15:35:54Z,en
Kawaiikarina101,9,117,27,2017-05-08T16:12:32Z,en
ZukyRock,94,216,2322,2009-09-30T17:49:10Z,en
D357ruk7,13,39,218,2012-12-20T23:04:48Z,en
Neketa07,90,237,1407,2009-06-09T06:13:14Z,en
breitsprecker3,9,15,55,2015-09-01T02:01:56Z,en
janinecushman,49,57,93,2011-07-14T21:49:48Z,en
robcayman,630,1347,6467,2011-03-27T14:16:26Z,en
marceloocg,174,302,548,2010-10-24T19:38:15Z,es
lindammarsella,11,73,180,2011-09-04T15:22:58Z,en
satriawsm,0,1,122,2014-08-20T12:23:01Z,en
picnikkkk,25,62,121,2009-10-13T22:28:15Z,en
ashley4bella,145,149,185,2012-09-09T03:36:54Z,en
GabesMommi11,39,208,1004,2012-03-17T00:34:09Z,en
RockCashbox,33,258,302,2012-02-08T18:34:58Z,en
AmyRaichelson,9,47,64,2016-06-05T13:46:39Z,en
Misha_329,134,852,2484,2010-01-06T16:17:50Z,en
davisdee,24,120,177,2008-05-11T16:06:27Z,en
cammac22,9,45,62,2011-09-21T16:07:40Z,en
WassupWit_B,231,227,6938,2010-03-26T01:34:07Z,en
Plattae,188,795,1957,2012-04-24T15:54:25Z,en
bradzieski,73,226,202,2009-06-22T22:13:46Z,en
hafsagho,122,610,258,2013-08-05T00:01:04Z,en
assihoward,19,26,128,2013-07-12T05:47:33Z,en
RDbestdiet,2,7,70,2009-07-15T13:46:24Z,en
LaMaremma,791,1560,3119,2010-05-27T10:57:03Z,nl
soomroshuaib,78,189,204,2011-06-01T10:21:51Z,en
JimBilka,6,18,139,2016-02-16T00:26:47Z,en
ckeven,11,100,137,2007-03-24T19:19:43Z,en
JalesaJones15,50,390,460,2014-04-28T21:19:48Z,en
VladislavDXM,3,4,199,2015-04-24T15:52:35Z,ru
KoT_1349,15,413,375,2013-02-12T20:45:36Z,ru
Perry_Perreault,62,100,105,2011-09-06T04:35:39Z,en
ZehraCP,88,158,330,2013-02-01T17:48:23Z,tr
guin_r,71,641,721,2012-06-20T17:16:34Z,en
AwengShah,494,905,5796,2009-02-11T19:16:03Z,en
ntpeirce,30,48,19,2010-03-22T18:38:16Z,en
sbscott4,49,77,107,2009-09-08T04:27:23Z,en
kazpallas,175,156,6459,2012-01-28T20:05:54Z,en
calikiwi87,78,480,628,2009-05-05T17:38:57Z,en
Ranjith2101,23,149,195,2010-06-24T09:49:07Z,en
deadeye985,8,19,185,2012-04-29T20:58:47Z,en
pbo26,51,636,249,2009-07-02T02:04:35Z,en
ayeny_89,29,214,134,2011-08-18T19:52:27Z,en
tinkylove3,22,80,235,2013-11-30T14:36:57Z,en
andariand18,1,17,89,2010-11-06T11:51:20Z,en
markkos1977,1,10,198,2013-01-01T12:00:36Z,ru
Kyroly18,1,19,128,2016-01-10T21:17:54Z,en
daugherty_diana,0,13,16,2012-07-29T23:47:16Z,en
mzwilson23,45,120,316,2009-02-25T18:15:43Z,en
mrsjchesley,18,87,77,2013-01-21T19:55:02Z,en
kittnjoe,6,110,61,2013-10-02T00:11:52Z,en
prestoluh,171,427,3825,2009-12-25T16:41:14Z,en
CeleryForDays,71,71,276,2011-01-09T20:05:12Z,en
Brendiize,53,122,237,2009-08-31T07:46:17Z,en
780_917,1035,1571,693,2015-04-14T06:53:39Z,en
Unthoughtofhero,33,81,352,2009-03-28T21:37:08Z,en
abbyilovu,0,3,127,2010-01-07T16:20:40Z,en
mmdelise,16,99,63,2014-08-15T12:08:40Z,en
Nikocarol,26,40,709,2009-05-15T23:15:38Z,en
cnotes170,173,252,192,2009-06-13T05:07:14Z,en
shelleyfewkes,14,99,90,2011-01-04T18:20:34Z,en
lalandreP,492,190,8457,2010-02-27T15:55:07Z,es
cheezypotato29,8,12,152,2012-10-27T20:49:55Z,en
nicole_manning,276,237,15810,2009-05-07T20:46:01Z,en
jamalataylor,84,256,1641,2010-08-01T23:11:45Z,en
ElecktraB,78,252,1313,2013-07-30T13:16:37Z,en
Courtne31121255,2,40,80,2016-09-27T01:16:58Z,en
Tsexumlow1,3,27,83,2011-09-13T16:45:28Z,en
DjMio83,7,14,143,2010-10-01T15:19:47Z,de
megapavel210781,0,2,181,2012-07-29T19:03:24Z,ru
dwrenn,218,698,560,2008-10-03T04:15:53Z,en
LilFalker,92,284,99,2011-04-06T03:41:34Z,en
Guilherme_azvv,461,305,16645,2010-11-06T14:19:44Z,pt
mac_garry,36,41,2072,2010-03-21T01:02:27Z,en
