screen_name,followers_count,friends_count,statuses_count,created_at,lang
"lucasgates",2571,89,2769,"Sat Jul 05 21:51:12 +0000 2008","en"
"shivrmkrshnan",50,116,102,"Thu Oct 31 15:40:27 +0000 2013","en"
"LewisBugBounty",104,883,25,"Wed Aug 09 09:28:43 +0000 2017","en-gb"
"RatHunter8",164,1950,4508,"Sun Jun 18 10:26:20 +0000 2017","en"
"rauhweltdb",12,89,535,"Mon Apr 10 00:14:32 +0000 2017","en"
"JimSkalski",30,63,5116,"Mon Feb 22 05:32:18 +0000 2010","en"
"jackhax3",0,1,4,"Wed Sep 21 10:55:56 +0000 2016","en"
"wavellan",503,650,3615,"Mon Apr 07 20:17:34 +0000 2008","en"
"theMattachines",2613,3993,41274,"Fri Jun 26 10:15:20 +0000 2015","en"
"YOBTVOYUHMAT",29,167,2035,"Wed Jul 26 12:30:47 +0000 2017","en"
"sandeep_7847",118,939,283,"Sat Dec 31 02:30:35 +0000 2016","en"
"knoknokcom",131,437,4078,"Thu Jun 17 12:58:51 +0000 2010","en"
"CammoTrader",35,65,154,"Tue Apr 21 11:14:48 +0000 2009","en"
"tennmomma79",7,26,84,"Fri Apr 21 20:58:46 +0000 2017","en"
"great_slp",187,204,253,"Wed Aug 01 02:11:29 +0000 2012","en"
"CnGzAydN25",5,13,174,"Fri Apr 21 23:05:50 +0000 2017","tr"
"miguelrisigil",10,95,534,"Wed Dec 23 20:20:25 +0000 2009","en"
"Nosidamsirron",4,8,78,"Fri Jun 01 20:10:17 +0000 2012","en"
"MikhaylovSergei",7,36,179,"Fri Jun 16 20:57:32 +0000 2017","ru"
"madysunshines",9,12,18,"Thu Nov 24 18:34:43 +0000 2011","en"
"bdubdiver",118,415,1268,"Tue Mar 01 09:54:46 +0000 2011","en"
"TheChazMCs",345,283,3689,"Sun Aug 16 06:05:44 +0000 2009","pt"
"tracyballen",51,288,168,"Tue Jul 31 11:05:55 +0000 2012","en"
"Pablox0x",9,49,224,"Mon Mar 07 21:33:09 +0000 2011","es"
"Mahoganij",171,275,364,"Sat Mar 16 02:49:46 +0000 2013","en"
"AlyssaTriviski",15,81,127,"Fri Jul 27 12:24:28 +0000 2012","en"
"StayLLovely",879,1982,13235,"Fri Jul 08 15:33:23 +0000 2011","nl"
"matola6",0,0,17,"Tue Oct 16 18:40:26 +0000 2012","ru"
"UrbanCity25",26,88,157,"Sun May 08 06:52:41 +0000 2011","en"
"mlmadura",5,19,42,"Sun Jul 01 22:12:34 +0000 2012","en"
