"screen_name","followers_count","friends_count","statuses_count","created_at","lang"
lucasgates,2571,89,2769,2008-07-05T21:51:12,en
shivrmkrshnan,50,116,102,2013-10-31T15:40:27,en
LewisBugBounty,104,883,25,2017-08-09T09:28:43,en-gb
RatHunter8,164,1950,4508,2017-06-18T10:26:20,en
rauhweltdb,12,89,535,2017-04-10T00:14:32,en
JimSkalski,30,63,5116,2010-02-22T05:32:18,en
jackhax3,0,1,4,2016-09-21T10:55:56,en
wavellan,503,650,3615,2008-04-07T20:17:34,en
theMattachines,2613,3993,41274,2015-06-26T10:15:20,en
YOBTVOYUHMAT,29,167,2035,2017-07-26T12:30:47,en
sandeep_7847,118,939,283,2016-12-31T02:30:35,en
knoknokcom,131,437,4078,2010-06-17T12:58:51,en
CammoTrader,35,65,154,2009-04-21T11:14:48,en
tennmomma79,7,26,84,2017-04-21T20:58:46,en
great_slp,187,204,253,2012-08-01T02:11:29,en
CnGzAydN25,5,13,174,2017-04-21T23:05:50,tr
miguelrisigil,10,95,534,2009-12-23T20:20:25,en
Nosidamsirron,4,8,78,2012-06-01T20:10:17,en
MikhaylovSergei,7,36,179,2017-06-16T20:57:32,ru
madysunshines,9,12,18,2011-11-24T18:34:43,en
bdubdiver,118,415,1268,2011-03-01T09:54:46,en
TheChazMCs,345,283,3689,2009-08-16T06:05:44,pt
tracyballen,51,288,168,2012-07-31T11:05:55,en
Pablox0x,9,49,224,2011-03-07T21:33:09,es
Mahoganij,171,275,364,2013-03-16T02:49:46,en
AlyssaTriviski,15,81,127,2012-07-27T12:24:28,en
StayLLovely,879,1982,13235,2011-07-08T15:33:23,nl
matola6,0,0,17,2012-10-16T18:40:26,ru
UrbanCity25,26,88,157,2011-05-08T06:52:41,en
mlmadura,5,19,42,2012-07-01T22:12:34,en
AndrewAlmendras,73,57,288,2009-07-09T20:31:33,en
marHortaliZa,205,758,1994,2011-01-08T20:37:38,es
silverhair165,44,48,338,2009-07-06T16:53:04,en
FredCabell,39,88,293,2011-10-22T15:40:33,en
Madame_Feghaly,41,299,220,2012-05-03T18:03:13,en
IRINKAYURKINA,2,7,184,2017-01-08T09:19:49,ru
olenenok1985120,467,287,1516,2012-10-20T10:17:58,ru
JodiCramer2,1,3,194,2012-08-05T18:00:56,en
korikori1984,28,12,121,2012-10-21T02:18:11,ja
IsoFleecie,7,11,75,2017-04-07T09:09:09,en
Elizabeth_Telit,2,20,189,2016-06-18T09:35:10,ru
CatherineOCon15,9,120,136,2012-07-01T01:46:23,en
AskQurayat,0,0,121,2017-07-09T11:56:25,ar
btuzcu26,267,1337,888,2013-08-08T11:49:17,tr
crey2010,5,5,60,2011-11-06T22:24:51,en
FriedChickenLA,73,61,220,2013-11-06T15:35:54,en
Kawaiikarina101,9,117,27,2017-05-08T16:12:32,en
ZukyRock,94,216,2322,2009-09-30T17:49:10,en
D357ruk7,13,39,218,2012-12-20T23:04:48,en
Neketa07,90,237,1407,2009-06-09T06:13:14,en
breitsprecker3,9,15,55,2015-09-01T02:01:56,en
janinecushman,49,57,93,2011-07-14T21:49:48,en
robcayman,630,1347,6467,2011-03-27T14:16:26,en
marceloocg,174,302,548,2010-10-24T19:38:15,es
lindammarsella,11,73,180,2011-09-04T15:22:58,en
satriawsm,0,1,122,2014-08-20T12:23:01,en
picnikkkk,25,62,121,2009-10-13T22:28:15,en
ashley4bella,145,149,185,2012-09-09T03:36:54,en
GabesMommi11,39,208,1004,2012-03-17T00:34:09,en
RockCashbox,33,258,302,2012-02-08T18:34:58,en
AmyRaichelson,9,47,64,2016-06-05T13:46:39,en
Misha_329,134,852,2484,2010-01-06T16:17:50,en
davisdee,24,120,177,2008-05-11T16:06:27,en
cammac22,9,45,62,2011-09-21T16:07:40,en
WassupWit_B,231,227,6938,2010-03-26T01:34:07,en
Plattae,188,795,1957,2012-04-24T15:54:25,en
bradzieski,73,226,202,2009-06-22T22:13:46,en
hafsagho,122,610,258,2013-08-05T00:01:04,en
assihoward,19,26,128,2013-07-12T05:47:33,en
RDbestdiet,2,7,70,2009-07-15T13:46:24,en
LaMaremma,791,1560,3119,2010-05-27T10:57:03,nl
soomroshuaib,78,189,204,2011-06-01T10:21:51,en
JimBilka,6,18,139,2016-02-16T00:26:47,en
ckeven,11,100,137,2007-03-24T19:19:43,en
