"screen_name","followers_count","friends_count","created_at","lang","status_count"
"lucasgates",2571,89,"Sat Jul 05 21:51:12 +0000 2008","en",2769
"shivrmkrshnan",50,116,"Thu Oct 31 15:40:27 +0000 2013","en",102
"LewisBugBounty",104,883,"Wed Aug 09 09:28:43 +0000 2017","en-gb",25
"RatHunter8",164,1950,"Sun Jun 18 10:26:20 +0000 2017","en",4508
"rauhweltdb",12,89,"Mon Apr 10 00:14:32 +0000 2017","en",535
"JimSkalski",30,63,"Mon Feb 22 05:32:18 +0000 2010","en",5116
"jackhax3",0,1,"Wed Sep 21 10:55:56 +0000 2016","en",4
"wavellan",503,650,"Mon Apr 07 20:17:34 +0000 2008","en",3615
"theMattachines",2613,3993,"Fri Jun 26 10:15:20 +0000 2015","en",41274
"YOBTVOYUHMAT",29,167,"Wed Jul 26 12:30:47 +0000 2017","en",2035
"sandeep_7847",118,939,"Sat Dec 31 02:30:35 +0000 2016","en",283
"knoknokcom",131,437,"Thu Jun 17 12:58:51 +0000 2010","en",4078
"CammoTrader",35,65,"Tue Apr 21 11:14:48 +0000 2009","en",154
"tennmomma79",7,26,"Fri Apr 21 20:58:46 +0000 2017","en",84
"great_slp",187,204,"Wed Aug 01 02:11:29 +0000 2012","en",253
"CnGzAydN25",5,13,"Fri Apr 21 23:05:50 +0000 2017","tr",174
"miguelrisigil",10,95,"Wed Dec 23 20:20:25 +0000 2009","en",534
"Nosidamsirron",4,8,"Fri Jun 01 20:10:17 +0000 2012","en",78
"MikhaylovSergei",7,36,"Fri Jun 16 20:57:32 +0000 2017","ru",179
"madysunshines",9,12,"Thu Nov 24 18:34:43 +0000 2011","en",18
"bdubdiver",118,415,"Tue Mar 01 09:54:46 +0000 2011","en",1268
"TheChazMCs",345,283,"Sun Aug 16 06:05:44 +0000 2009","pt",3689
"tracyballen",51,288,"Tue Jul 31 11:05:55 +0000 2012","en",168
"Pablox0x",9,49,"Mon Mar 07 21:33:09 +0000 2011","es",224
"Mahoganij",171,275,"Sat Mar 16 02:49:46 +0000 2013","en",364
"AlyssaTriviski",15,81,"Fri Jul 27 12:24:28 +0000 2012","en",127
"StayLLovely",879,1982,"Fri Jul 08 15:33:23 +0000 2011","nl",13235
"matola6",0,0,"Tue Oct 16 18:40:26 +0000 2012","ru",17
"UrbanCity25",26,88,"Sun May 08 06:52:41 +0000 2011","en",157
"mlmadura",5,19,"Sun Jul 01 22:12:34 +0000 2012","en",42
"AndrewAlmendras",73,57,"Thu Jul 09 20:31:33 +0000 2009","en",288
"marHortaliZa",205,758,"Sat Jan 08 20:37:38 +0000 2011","es",1994
